Rating,ID,Title,Title Slug,Difficulty,premium,status
2418.5742747632,1203,Sort Items by Groups Respecting Dependencies,sort-items-by-groups-respecting-dependencies,Hard,False,
2415.7434855724,2663,Lexicographically Smallest Beautiful String,lexicographically-smallest-beautiful-string,Hard,False,
2415.2802039252,2493,Divide Nodes Into the Maximum Number of Groups,divide-nodes-into-the-maximum-number-of-groups,Hard,False,
2415.0089731911,2003,Smallest Missing Genetic Value in Each Subtree,smallest-missing-genetic-value-in-each-subtree,Hard,False,
2414.6227484407,2518,Number of Great Partitions,number-of-great-partitions,Hard,False,
2413.3969129689,1928,Minimum Cost to Reach Destination in Time,minimum-cost-to-reach-destination-in-time,Hard,False,
2409.7580728676,1388,Pizza With 3n Slices,pizza-with-3n-slices,Hard,False,
2405.3375364501,2747,Count Zero Request Servers,count-zero-request-servers,Medium,False,
2399.5729141925,920,Number of Music Playlists,number-of-music-playlists,Hard,False,
2397.9722495587,2538,Difference Between Maximum and Minimum Price Sum,difference-between-maximum-and-minimum-price-sum,Hard,False,
2397.8728428256,2569,Handling Sum Queries After Update,handling-sum-queries-after-update,Hard,False,
2396.6770372863,2818,Apply Operations to Maximize Score,apply-operations-to-maximize-score,Hard,False,
2396.6267778669,808,Soup Servings,soup-servings,Medium,False,
2395.8765531206,1825,Finding MK Average,finding-mk-average,Hard,False,
2392.0799451298,2172,Maximum AND Sum of Array,maximum-and-sum-of-array,Hard,False,
2391.8086687918,818,Race Car,race-car,Hard,False,
2391.657270733,2322,Minimum Score After Removals on a Tree,minimum-score-after-removals-on-a-tree,Hard,False,
2389.9634276167,1681,Minimum Incompatibility,minimum-incompatibility,Hard,False,
2387.9289198649,3116,Kth Smallest Amount With Single Denomination Combination,kth-smallest-amount-with-single-denomination-combination,Hard,False,
2387.3525635254,2713,Maximum Strictly Increasing Cells in a Matrix,maximum-strictly-increasing-cells-in-a-matrix,Hard,False,
2385.8072128533,1349,Maximum Students Taking Exam,maximum-students-taking-exam,Hard,False,
2383.7724811656,1521,Find a Value of a Mysterious Function Closest to Target,find-a-value-of-a-mysterious-function-closest-to-target,Hard,False,
2381.625583289,2577,Minimum Time to Visit a Cell In a Grid,minimum-time-to-visit-a-cell-in-a-grid,Hard,False,
2381.6019709166,2468,Split Message Based on Limit,split-message-based-on-limit,Hard,False,
2381.479024858,956,Tallest Billboard,tallest-billboard,Hard,False,
2381.2160234811,2334,Subarray With Elements Greater Than Varying Threshold,subarray-with-elements-greater-than-varying-threshold,Hard,False,
2380.5983169295,2589,Minimum Time to Complete All Tasks,minimum-time-to-complete-all-tasks,Hard,False,
2378.6234112504,757,Set Intersection Size At Least Two,set-intersection-size-at-least-two,Hard,False,
2377.3895801187,854,K-Similar Strings,k-similar-strings,Hard,False,
2376.8658923518,887,Super Egg Drop,super-egg-drop,Hard,False,
2374.1850487395,1840,Maximum Building Height,maximum-building-height,Hard,False,
